k,silhouette,davies_bouldin,calinski_harabasz
2,0.1820145845413208,2.0106537364675465,374.75
3,0.1085500717163086,2.819372776163373,224.5347442626953
4,0.07197940349578857,3.072644955493047,161.0416717529297
5,-0.008607801981270313,2.8250721469696756,187.3024444580078
6,-0.017906777560710907,2.8049906640486326,149.4324188232422
7,-0.009580392390489578,2.7140757059333294,163.98672485351562
8,-0.015129116363823414,3.1712383354806204,125.83145141601562
