Modelo,Tipo,F1_Macro,F1_Weighted,Accuracy,T_Entren_s,T_Infer_s
MLP + Dropout (post-activación),MLP,0.46500181172770516,0.5020501565758946,0.5157232704402516,21.73678421974182,0.0012917518615722656
MLP + BatchNorm → Dropout,MLP,0.46069692129000683,0.4936704202777334,0.5073375262054507,29.089115381240845,0.0014748573303222656
XGBoost,Ensamble,0.4518723525757582,0.48823313473390384,0.5052410901467506,8.776310205459595,0.008933782577514648
MLP + Dropout → BatchNorm,MLP,0.44513154240480146,0.480070714349425,0.4968553459119497,28.509233951568604,0.0020465850830078125
Gradient Boosting,Ensamble,0.4363503751188752,0.47667708070247666,0.49266247379454925,57.70423984527588,0.011557817459106445
LightGBM,Ensamble,0.4350906868399272,0.4713518828031534,0.4863731656184486,2.2328076362609863,0.021049976348876953
MLP + BatchNorm (post-activación),MLP,0.4147831195040859,0.44393212444198854,0.4444444444444444,25.450573444366455,0.0012848377227783203
MLP Base (Sin Regularización),MLP,0.408727338015642,0.4325516204516372,0.4381551362683438,18.574101209640503,0.005383968353271484
Random Forest,Ensamble,0.3841840051756031,0.43551107109872933,0.4758909853249476,2.1866867542266846,0.18523144721984863
