Modelo,Tipo,F1_Macro,F1_Weighted,Accuracy,T_Entren_s,T_Infer_s
MLP + Dropout → BatchNorm,MLP,0.38170218349136686,0.4177267185792318,0.429769392033543,11.08889889717102,0.0006270408630371094
XGBoost,Ensamble,0.3803562670630223,0.41465658271911493,0.44025157232704404,4.039428472518921,0.006338357925415039
LightGBM,Ensamble,0.36743294520806674,0.411290744584634,0.44654088050314467,1.0384678840637207,0.009807109832763672
Gradient Boosting,Ensamble,0.3654949890394346,0.4044713106152461,0.4381551362683438,42.13157916069031,0.009296655654907227
MLP + Dropout (post-activación),MLP,0.34695763285523523,0.36835208712668155,0.4025157232704403,9.10063886642456,0.00041222572326660156
MLP + BatchNorm → Dropout,MLP,0.34019072706245346,0.3802376978386047,0.40461215932914046,11.572896480560303,0.0005307197570800781
Random Forest,Ensamble,0.3034221319149515,0.358527675662792,0.42138364779874216,1.2181377410888672,0.0577082633972168
MLP + BatchNorm (post-activación),MLP,0.3015384455174034,0.339259106277277,0.350104821802935,9.852994441986084,0.0005648136138916016
MLP Base (Sin Regularización),MLP,0.29421938323470465,0.33151435215057423,0.3480083857442348,8.291304349899292,0.0008130073547363281
